Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as Asian & Pacific Islander,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as 'Asian & Pacific Islander',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/asian_pacific_islander.html Derived from US Census Data
VUONG,6883,143,96.30%,4556,7148,
CHIANG,6851,144,94.00%,4479,7290,
LEONG,6818,145,85.60%,4119,7967,
HE,6737,146,95.50%,4600,7057,
FLORES,6721,147,2.10%,55,312615,
FUNG,6672,148,88.70%,4367,7518,
DONG,6628,149,90.50%,4458,7327,
NAKAMURA,6613,150,84.60%,4203,7821,
TO,6593,151,94.50%,4649,6979,
CHOE,6591,152,95.20%,4682,6926,
ONG,6571,153,86.80%,4343,7572,
TANAKA,6538,154,82.90%,4160,7887,
LOUIE,6517,155,80.70%,4046,8071,
YUN,6515,156,94.10%,4680,6927,
LOPEZ,6464,157,1.00%,21,621536,
TU,6437,158,94.30%,4745,6826,
YAMAMOTO,6351,159,83.00%,4289,7652,
MATHEW,6317,160,67.80%,3509,9311,
DEGUZMAN,6291,161,84.00%,4385,7487,
YUEN,6250,162,89.40%,4639,6990,
MOON,6246,163,14.80%,748,42062,
FANG,6237,164,91.80%,4771,6791,
YEUNG,6203,165,96.00%,4984,6464,
KUO,6177,166,94.00%,4914,6570,
RIVERA,6169,167,2.10%,59,299463,
SON,6164,168,78.60%,4189,7843,
RAO,6083,169,72.20%,3872,8423,
GONZALES,6012,170,3.10%,110,193934,
AHMAD,5945,171,52.20%,2889,11395,
MOY,5925,172,69.50%,3827,8523,
GUO,5912,173,97.60%,5287,6058,
PANG,5863,174,88.50%,4865,6627,
SO,5773,175,92.70%,5166,6227,
YEH,5773,175,93.80%,5214,6153,
PEREZ,5765,177,1.20%,29,488521,
AQUINO,5758,178,31.20%,1781,18472,
GILL,5736,179,8.30%,430,68699,
REDDY,5724,180,57.80%,3312,9911,
TSANG,5677,181,95.50%,5392,5943,
WILLIAMS,5676,182,0.40%,3,1534042,
