Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as 'white',Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/white.html Derived from US Census Data
ELLIOTT,111092,142,83.90%,197,132457,
FREEMAN,110561,143,68.00%,140,162686,
MASON,110378,144,71.00%,149,155484,
FERGUSON,110305,145,77.50%,173,142256,
OBRIEN,109973,146,95.30%,234,115385,
HART,109563,147,82.70%,196,132466,
COLEMAN,108568,148,52.00%,102,208624,
WARREN,107232,149,72.50%,166,147906,
JENSEN,107210,150,95.40%,244,112332,
GARDNER,107087,151,77.20%,182,138660,
HICKS,106703,152,69.50%,155,153618,
STEPHENS,106193,153,76.50%,181,138742,
HENRY,105002,154,65.10%,142,161392,
GORDON,104968,155,67.80%,151,154934,
BURKE,104564,156,87.70%,229,119175,
WEBER,103098,157,95.60%,252,107866,
DUNCAN,102875,158,78.90%,203,130419,
RICHARDS,102709,159,81.70%,215,125653,
WOODS,102436,160,60.70%,133,168814,
HANSON,102392,161,93.90%,251,109079,
LANE,102158,162,79.40%,209,128727,
PAYNE,101713,163,73.70%,183,138028,
CHAPMAN,101648,164,81.60%,218,124614,
SCHULTZ,101015,165,96.20%,261,104962,
WHEELER,100742,166,82.80%,223,121684,
RAY,99931,167,77.60%,208,128794,
CUNNINGHAM,99661,168,75.60%,198,131896,
WALSH,98984,169,95.90%,265,103216,
KNIGHT,98618,170,74.80%,199,131860,
BISHOP,98503,171,86.40%,238,114034,
BOYD,98116,172,65.60%,164,149476,
ARMSTRONG,97435,173,75.00%,204,129982,
SCHNEIDER,97205,174,96.70%,272,100553,
HUNTER,97155,175,62.90%,153,154410,
SPENCER,96409,176,71.70%,189,134443,
LYNCH,96388,177,84.20%,237,114448,
MORRISON,96333,178,81.70%,231,117939,
RILEY,96072,179,75.10%,210,127960,
ANDREWS,95994,180,74.20%,206,129320,
BERRY,94815,181,73.30%,205,129405,
BRADLEY,93491,182,71.20%,200,131289,
PERKINS,90795,183,71.50%,212,126951,
HUDSON,90705,184,69.40%,202,130793,
WELCH,90568,185,85.60%,259,105804,
GILBERT,90273,186,80.30%,243,112406,
LAWRENCE,89424,187,71.90%,219,124321,
HOWELL,89143,188,81.30%,249,109634,
WALTERS,88962,189,85.30%,262,104281,
HOLMES,88928,190,59.20%,161,150166,
WILLIAMSON,88898,191,79.20%,245,112216,
JACOBS,88561,192,76.60%,233,115540,
DAVIDSON,88013,193,86.30%,269,102044,
LAWSON,87887,194,76.30%,235,115186,
KELLER,87633,195,92.90%,290,94300,
MAY,87016,196,85.50%,270,101726,
DIXON,86725,197,57.10%,156,152015,
DAY,86608,198,85.20%,271,101676,
CARR,86319,199,75.80%,239,113892,
DEAN,86008,200,78.70%,250,109230,
GEORGE,85569,201,71.40%,227,119778,
FOWLER,85524,202,83.30%,267,102620,
BECK,85457,203,91.70%,295,93161,
NEWMAN,85387,204,85.00%,273,100491,
HAWKINS,85266,205,63.60%,191,134066,
BECKER,84942,206,96.40%,315,88114,
BOWMAN,84756,207,82.90%,268,102239,
GREENE,84129,208,70.30%,228,119604,
HARPER,84051,209,70.10%,226,119868,
BREWER,83728,210,83.30%,274,100465,
MATTHEWS,82656,211,66.20%,217,124839,
POWERS,82274,212,91.00%,304,90401,
SCHWARTZ,81963,213,96.80%,330,84699,
WILLIS,81331,214,64.70%,216,125627,
FULLER,80577,215,75.50%,256,106682,
BARRETT,79805,216,83.20%,288,95896,
DANIELS,79338,217,57.20%,180,138776,
HARVEY,79280,218,70.70%,247,112136,
COHEN,79053,219,90.60%,320,87226,
CURTIS,79048,220,79.90%,280,98958,
WATKINS,79027,221,64.50%,222,122447,
HOLLAND,78769,222,78.90%,276,99885,
MONTGOMERY,78748,223,70.20%,246,112144,
AUSTIN,78725,224,69.60%,241,113160,
GRANT,78075,225,58.30%,192,134034,
GARRETT,78063,226,72.40%,253,107777,
ERICKSON,78014,227,96.40%,351,80936,
LAMBERT,77669,228,85.70%,303,90618,
KLEIN,76920,229,96.50%,359,79685,
ZIMMERMAN,76743,230,94.80%,350,80944,
WOLFE,76704,231,92.30%,337,83112,
MCCARTHY,76092,232,93.90%,348,81035,
STANLEY,76029,233,81.00%,292,93817,
BARKER,75455,234,88.50%,325,85221,
BURTON,74721,235,69.70%,255,107158,
OLIVER,74509,236,66.70%,248,111641,
LITTLE,74245,237,72.30%,266,102718,
LUCAS,73877,238,73.60%,275,100417,
LEONARD,73669,239,82.60%,308,89198,
PEARSON,73542,240,74.50%,281,98728,
MCCOY,73472,241,69.00%,258,106481,
CRAIG,72721,242,81.20%,307,89591,
BARNETT,72676,243,78.70%,300,92287,
BATES,72266,244,77.10%,293,93743,
GREGORY,71821,245,80.90%,312,88810,
HOPKINS,71482,246,75.60%,289,94603,
OCONNOR,70831,247,94.70%,385,74756,
WARNER,70630,248,86.30%,344,81824,
SWANSON,70424,249,92.00%,375,76539,
NORRIS,69882,250,82.00%,326,85212,
HALE,69674,251,84.00%,338,82955,
ROBBINS,69616,252,89.10%,364,78141,
HOLT,68776,253,81.20%,329,84710,
RHODES,68608,254,77.20%,310,88917,
CHRISTENSEN,68199,255,95.90%,412,71144,
STEELE,67811,256,80.40%,331,84353,
MCDANIEL,67742,257,78.50%,323,86317,
BENSON,67370,258,80.00%,332,84233,
MANN,67329,259,83.10%,349,81022,
SHELTON,67287,260,76.20%,313,88326,
LOWE,67142,261,75.30%,309,89178,
HIGGINS,67110,262,85.90%,365,78107,
FISCHER,67088,263,95.70%,419,70095,
DOYLE,66710,264,90.70%,391,73518,
GRIFFITH,66450,265,85.80%,369,77429,
REID,65774,266,63.20%,263,104007,
FRANKLIN,65722,267,57.20%,236,114859,
QUINN,65684,268,88.10%,386,74531,
FLEMING,65601,269,74.60%,317,87949,
SUTTON,65600,270,75.10%,319,87373,
BALL,65562,271,84.50%,366,77561,
MCLAUGHLIN,65559,272,89.60%,392,73128,
WOLF,65432,273,95.00%,427,68905,
SHARP,65430,274,85.10%,371,76868,
GALLAGHER,65406,275,96.10%,433,68075,
BOWEN,65146,276,84.50%,370,77078,
FITZGERALD,64721,277,88.00%,390,73522,
GROSS,64338,278,86.60%,387,74285,
SCHROEDER,64247,279,96.70%,450,66412,
POTTER,64227,280,90.30%,413,71103,
CALDWELL,64183,281,70.30%,301,91338,
JENNINGS,63868,282,73.40%,321,87038,
REEVES,63686,283,79.80%,358,79817,
ADKINS,63603,284,88.90%,408,71528,
BRADY,63360,285,89.00%,411,71175,
LYONS,63240,286,76.90%,339,82258,
MULLINS,63201,287,89.90%,416,70286,
WADE,62654,288,67.50%,297,92834,
BALDWIN,62624,289,79.10%,361,79151,
VAUGHN,62613,290,73.60%,327,85037,
MUELLER,62350,291,97.00%,467,64305,
CHAMBERS,62144,292,68.80%,305,90325,
PAGE,62108,293,77.20%,354,80493,
PARKS,61720,294,71.50%,322,86346,
BLAIR,61708,295,82.10%,380,75135,
FIELDS,61677,296,59.70%,264,103242,
PARSONS,61377,297,92.70%,453,66203,
FLETCHER,61120,298,75.50%,352,80932,
WATTS,61058,299,70.80%,324,86228,
SIMS,60957,300,56.80%,254,107244,
RAMSEY,60948,301,79.50%,373,76625,
HARTMAN,60904,302,95.40%,470,63827,
KRAMER,60798,303,96.50%,474,63023,
BUSH,60442,304,74.10%,346,81524,
HORTON,60262,305,72.20%,335,83523,
BAUER,59711,306,96.30%,484,61979,
BARBER,59581,307,77.90%,376,76504,
SHERMAN,59301,308,84.90%,422,69840,
DOUGLAS,59147,309,61.30%,286,96425,
GRAVES,59128,310,72.00%,340,82179,
CHANDLER,58433,311,76.80%,379,76114,
CROSS,58364,312,77.70%,382,75134,
BARTON,58048,313,87.10%,447,66622,
HARMON,57938,314,80.00%,399,72414,
CUMMINGS,57891,315,75.50%,372,76707,
FLYNN,57820,316,93.60%,487,61747,
TODD,57810,317,82.80%,423,69810,
MCKINNEY,57697,318,71.60%,353,80616,
GOODMAN,57657,319,80.70%,409,71482,
TERRY,57421,320,68.80%,336,83437,
CASEY,57368,321,88.50%,463,64815,
FRANK,57144,322,86.70%,454,65918,
DAWSON,56518,323,70.50%,355,80190,
OWEN,56446,324,93.40%,496,60461,
NEWTON,56344,325,77.90%,400,72328,
THORNTON,56290,326,69.30%,347,81191,
MORAN,56105,327,71.40%,362,78546,
SHAFFER,56035,328,94.60%,505,59227,
MCCORMICK,55833,329,89.10%,475,62663,
BURGESS,55686,330,77.80%,407,71604,
MCGUIRE,55631,331,89.60%,482,62116,
GOODWIN,55542,332,79.00%,415,70333,
HESS,55474,333,95.90%,518,57822,
NORTON,55414,334,89.70%,485,61805,
FRENCH,55407,335,87.70%,473,63149,
OSBORNE,55261,336,84.00%,457,65802,
MANNING,55234,337,76.60%,402,72069,
BOWERS,55041,338,85.30%,466,64496,
ROTH,54903,339,96.30%,527,57030,
HARRINGTON,54658,340,83.90%,462,65131,
OLSEN,54650,341,95.30%,521,57357,
ROWE,54414,342,82.20%,452,66205,
BYRD,54397,343,61.30%,311,88811,
NEAL,54242,344,64.70%,333,83849,
HAMMOND,54173,345,80.80%,442,67063,
WEISS,54160,346,96.50%,531,56153,
FARMER,53971,347,79.00%,431,68309,
WISE,53838,348,80.70%,445,66738,
SPARKS,53471,349,85.90%,481,62234,
GARNER,53419,350,74.10%,403,72052,
WEBSTER,53406,351,76.20%,418,70123,
PAUL,53319,352,73.80%,401,72248,
RODGERS,53247,353,72.90%,394,73021,
MOSS,53004,354,71.90%,389,73750,
GARCIA,52956,355,6.20%,8,858289,
PETERSEN,52509,356,95.20%,543,55185,
SIMON,52342,357,69.90%,383,74839,
HOOVER,52295,358,93.30%,532,56068,
HODGES,52285,359,75.90%,428,68868,
HAYNES,52274,360,63.70%,341,82037,
FRAZIER,52156,361,59.10%,314,88325,
MILES,52118,362,63.60%,342,81933,
DECKER,51929,363,95.40%,555,54450,
MARSH,51855,364,85.00%,494,60999,
MEYERS,51734,365,91.20%,528,56744,
STRICKLAND,51657,366,78.50%,456,65814,
BLAKE,51294,367,74.00%,425,69279,
DENNIS,51227,368,68.50%,384,74784,
LAMB,51183,369,87.40%,511,58555,
BUCHANAN,51009,370,79.90%,471,63825,
HOGAN,50788,371,82.40%,488,61651,
BROCK,50742,372,85.00%,502,59682,
YATES,50723,373,82.60%,491,61400,
COCHRAN,50680,374,87.00%,514,58233,
LARSEN,50654,375,95.60%,572,52963,
CONNER,50373,376,80.80%,480,62335,
LANG,50364,377,84.20%,499,59843,
DANIEL,50355,378,67.00%,380,75135,
HUBBARD,49975,379,73.50%,435,68021,
MAXWELL,49854,380,75.80%,458,65779,
WATERS,49540,381,75.30%,455,65817,
CANNON,49068,382,72.20%,436,67923,
PATTON,48942,383,75.60%,464,64772,
REESE,48915,384,68.20%,405,71754,
HARDY,48776,385,63.70%,374,76608,
GILL,48708,386,70.90%,430,68699,
MALONE,48341,387,69.80%,426,69257,
DRAKE,48331,388,81.80%,506,59055,
PRATT,48002,389,80.30%,500,59801,
STEVENSON,47956,390,65.80%,395,72892,
SHORT,47914,391,85.70%,536,55903,
WALL,47764,392,87.80%,557,54401,
FOLEY,47597,393,93.60%,605,50852,
SWEENEY,47442,394,92.10%,591,51500,
TOWNSEND,47192,395,70.60%,444,66853,
WILCOX,47173,396,85.80%,546,54987,
WILKINSON,47166,397,89.90%,576,52483,
HENSLEY,46986,398,94.20%,618,49858,
ABBOTT,46974,399,91.00%,588,51620,
FARRELL,46961,400,91.90%,599,51095,
SHEPHERD,46916,401,81.00%,515,57935,
SAUNDERS,46825,402,69.70%,439,67210,
MARTINEZ,46814,403,6.00%,11,775072,
NORMAN,46720,404,71.60%,461,65269,
MCGEE,46708,405,64.90%,404,71925,
BRYAN,46691,406,84.50%,542,55269,
MCBRIDE,46575,407,76.50%,495,60874,
BERG,46497,408,95.90%,637,48480,
COMBS,46463,409,87.40%,570,53180,
